fold,subgroup,level,n,RMSE,MAE,R2
1,overall,all,97001,20.648618691309533,16.916083922321132,0.03983929599948577
1,language,English,81980,21.014027068115666,17.346410689175958,0.03861310373474447
1,language,Tamil,15021,18.527768308661045,14.567492726877521,-0.10535632206636092
1,gender,F,41627,16.156646504338497,12.980639009560246,-0.053171851046639906
1,gender,M,55374,23.465927240373414,19.87452588756651,-0.18164051487264277
1,bpm_tertile,high,29591,20.332099582331708,15.987881693882407,-1.8441152801416054
1,bpm_tertile,low,44678,25.25031177560641,23.943780563240423,-6.532273803167023
1,bpm_tertile,mid,22732,5.303579253233322,4.311957651809888,-0.9563656544758257
2,overall,all,92398,13.629237709029573,10.397106804138948,-0.02733975883874007
2,language,English,83420,13.685787098248431,10.291929932847866,-0.01588281813792225
2,language,Tamil,8978,13.092129958188398,11.3743683994945,-0.39232546837775484
2,gender,F,42752,12.500975868511404,8.609044668203342,-0.11548174116012988
2,gender,M,49646,14.530792079453287,11.936872997498314,-0.048302233304336806
2,bpm_tertile,high,26893,19.375065445706973,16.447960324592916,-2.516672872894671
2,bpm_tertile,low,24946,15.765895421529233,14.575455538283983,-6.185905440313633
2,bpm_tertile,mid,40559,4.624465149979803,3.8151227501053033,-0.7271113453438709
3,overall,all,85602,16.323288327458535,12.8948495120262,-0.02618016611733176
3,language,English,67576,17.63447388673882,13.892064901107837,-0.03430225092085948
3,language,Tamil,18026,9.976691323399221,9.156481203328726,-2.34255394977421
3,gender,F,29789,17.517585013622952,12.689587718542699,-0.13166276274599342
3,gender,M,55813,15.648595455920507,13.004403622467853,-0.10103666049025173
3,bpm_tertile,high,21970,26.24751426455874,22.822772529334657,-3.054451024682926
3,bpm_tertile,low,40247,13.078087698959663,12.250836792378898,-11.416578279421412
3,bpm_tertile,mid,23385,5.808922189545181,4.676038788800977,-1.0898335482210166
4,overall,all,78760,16.606141821828047,12.605930153908252,-0.16774027022924143
4,language,English,60165,17.868370224641755,13.315005430901406,-0.22184375905961828
4,language,Tamil,18595,11.617661301178979,10.311683633860223,-0.9750936731953905
4,gender,F,30253,14.276146826035985,10.314414408086126,-0.22072011134087122
