fold,subgroup,level,n,RMSE,MAE,R2
1,overall,all,724,18.73431583894629,14.422459439019471,0.08999742621938611
1,language,English,596,18.69106661046145,14.381268072448322,0.11698416042040416
1,language,Tamil,128,18.93439421487303,14.614256739616394,-0.08329784000872986
1,gender,F,381,15.952333843805343,12.560706191175566,-0.03528543297051545
1,gender,M,343,21.404740711294686,16.49047106417553,0.07086033256319191
1,bpm_tertile,high,250,21.515340688080244,16.729504272460936,-1.6417078198415043
1,bpm_tertile,low,251,22.99429580292468,21.26378601195803,-4.03418184297219
1,bpm_tertile,mid,223,5.0401902179762725,4.135759088490576,-0.8089195358961727
2,overall,all,720,15.214730709344922,11.697595331403944,-0.003766620033045509
2,language,English,658,15.260088421961612,11.597407100410809,0.0077382467473853245
2,language,Tamil,62,14.724746283235586,12.760883331298828,-0.2766492615172118
2,gender,F,253,14.839084230473885,10.287281835503258,-0.13448592714024787
2,gender,M,467,15.414416729973158,12.461640972652068,-0.03326861961775185
2,bpm_tertile,high,216,21.294558267618513,17.712686856587727,-2.1122934816298846
2,bpm_tertile,low,245,16.1302835107786,14.848575389628508,-5.671263243896811
2,bpm_tertile,mid,259,4.384434976445849,3.7004915333162405,-0.5079520865196412
3,overall,all,612,16.878143691342633,13.01439537098205,-0.017305966394503436
3,language,English,519,17.820029310071988,13.699334058228715,-0.03512680813111935
3,language,Tamil,93,10.123571843743623,9.191995600218414,-0.9142307677280126
3,gender,F,252,16.904746137763503,12.041334697178431,-0.1107736200284557
3,gender,M,360,16.85949700329089,13.695537842644585,-0.02933744237818492
3,bpm_tertile,high,190,25.917096088508398,21.907263745759664,-2.5709435662281592
3,bpm_tertile,low,246,12.912812732906394,12.12111021832722,-11.66019866223216
3,bpm_tertile,mid,176,5.691433963787051,4.662708759307861,-1.012959048988638
4,overall,all,575,17.819462913555515,13.373055944028108,-0.02101892958672069
4,language,English,449,19.16623949495849,14.145989186514194,-0.07512357295228411
4,language,Tamil,126,11.83344635076443,10.618714468819755,-1.0619529723383487
4,gender,F,251,14.484133666637591,10.429949787033507,-0.22227841513046664
4,gender,M,324,20.025007629892478,15.653054849601086,-0.028271208854167007
4,bpm_tertile,high,176,27.842112664768027,23.921378980983388,-2.7848720299067966
4,bpm_tertile,low,191,13.503057397460317,12.26223659016075,-13.977537294285046
4,bpm_tertile,mid,208,7.37845585426859,5.467583069434533,-3.021976338643194
5,overall,all,649,18.630666619350873,14.26491528997436,-0.11943913399294481
5,language,English,589,19.24421056107573,14.838359904005896,-0.1057005136669198
5,language,Tamil,60,10.907933178901844,8.635600662231445,-0.8453017458229035
5,gender,F,249,23.863209224012778,17.754958524282678,-0.25394172341134835
5,gender,M,400,14.446045526496356,12.092363376617431,-0.07041892493311597
5,bpm_tertile,high,277,26.30833892550654,22.78072486629555,-2.915776674432074
5,bpm_tertile,low,172,12.961420247456765,12.353542017382244,-12.814523973209885
5,bpm_tertile,mid,200,4.823718471734002,4.114300041198731,-0.5621550149998784
6,overall,all,772,18.822370335404816,14.485392274016544,0.05030098190938326
6,language,English,642,19.07794554093794,14.291205997407623,0.047888087131267465
6,language,Tamil,130,17.50559353262928,15.444373732346754,-1.1883103710544343
6,gender,F,311,23.41868626474621,17.829100605759205,-0.1933880664237786
6,gender,M,461,14.94328911495961,12.229658453686895,-0.017836698051333588
6,bpm_tertile,high,265,25.26885885756296,19.92000438762161,-1.6782934535840388
6,bpm_tertile,low,302,18.217582702501325,17.116073090509072,-5.472657383850663
6,bpm_tertile,mid,205,4.456304181934806,3.584719997499047,-0.5367441371740165
7,overall,all,780,16.243122939499383,12.478087997436523,-0.049192280480643724
7,language,English,586,16.23936661878402,12.530495223738635,-0.04274026450426449
7,language,Tamil,194,16.254464080334383,12.319785757163137,-0.07314798511421516
7,gender,F,315,17.833925896356376,13.158734905908979,-0.37140186002934805
7,gender,M,465,15.070375829194854,12.01700460782615,-0.015506956858970078
7,bpm_tertile,high,318,22.6493742470889,19.65284076426764,-3.047353992077202
7,bpm_tertile,low,205,13.766272857258942,12.900938006145198,-8.234847042326676
7,bpm_tertile,mid,257,3.851679851854148,3.2630855397027756,-0.1776497423288501
8,overall,all,761,15.139839510173621,11.78898915354745,0.007364538180068214
8,language,English,571,14.4663416786267,11.204362458397753,0.06622386140716507
8,language,Tamil,190,17.004081353318163,13.545946221602591,-0.3151267788347274
8,gender,F,374,14.055346363917502,11.294146675477053,-0.22766269893971125
8,gender,M,387,16.118720131838952,12.26720901607543,0.06378929497790164
8,bpm_tertile,high,307,20.657567398602765,17.95799474063836,-3.3465357139694634
8,bpm_tertile,low,211,13.476835418286367,12.26066777378462,-8.92594422684938
8,bpm_tertile,mid,243,4.582059286641471,3.58566033006205,-0.5281853560029779
9,overall,all,780,15.163764731467325,11.219443022899139,-0.02738045584790938
9,language,English,649,15.497402385516402,11.359236413047567,-0.028021530075421852
9,language,Tamil,131,13.388790023094787,10.526878822850817,-0.3162981628359527
9,gender,F,319,13.953734729185983,10.51092581913389,-0.3515900002887411
9,gender,M,461,15.947417122396725,11.709718484940602,-0.1567286234354368
9,bpm_tertile,high,217,23.646861764682416,19.312608463972943,-2.230902146858207
9,bpm_tertile,low,258,14.0380895660154,13.056487268255662,-9.910556871960166
9,bpm_tertile,mid,305,4.848087889841608,3.9073960851450433,-0.8286813357416614
10,overall,all,652,17.431438313902273,13.75558490402128,-0.09001130738624541
10,language,English,522,15.00250275308039,11.80048811755418,-0.04067446372192096
10,language,Tamil,130,24.903550997930985,21.606050461989184,-0.19613565373012531
10,gender,F,254,13.88552008230583,10.36349934855784,-0.6194366443914701
10,gender,M,398,19.357801299750378,15.920383223337145,-0.4394053821138941
10,bpm_tertile,high,213,17.91872668597884,15.006101402318533,-2.369642611728619
10,bpm_tertile,low,232,23.28906659180878,21.7305526075692,-8.586143379303316
10,bpm_tertile,mid,207,4.335551017976596,3.5306934964829595,-0.21901176231977915
