fold,subgroup,level,n,RMSE,MAE,R2
1,overall,all,97001,19.404859033657697,15.964349378117694,0.15202528361972345
1,gender,F,41627,15.364313962299502,12.315825395146296,0.04759176220994343
1,gender,M,55374,21.95810071562128,18.70710063031458,-0.03466433505815947
1,language,English,81980,19.665011865435332,16.30447306692324,0.158085383671982
1,language,Tamil,15021,17.918588565619928,14.108058850970458,-0.033864617190822344
1,bpm_tertile,high,29591,19.334633399063954,15.245872885847877,-1.57190322588297
1,bpm_tertile,low,44678,23.562190084175143,22.431407994210943,-5.558792921293468
1,bpm_tertile,mid,22732,5.386077069792868,4.189107121956426,-1.0177020288185479
2,overall,all,92398,14.374367442999038,11.349974996545757,-0.14274268026845016
2,gender,F,42752,12.4371565840692,8.920002858795806,-0.10412142311911143
2,gender,M,49646,15.854006489094111,13.442513546138596,-0.24791785111998177
2,language,English,83420,14.371445857722529,11.182668099395379,-0.12022428129455731
2,language,Tamil,8978,14.401485311453671,12.904524045363384,-0.6847471237339458
2,bpm_tertile,high,26893,18.91128748607297,15.737593222616578,-2.350331715454792
2,bpm_tertile,low,24946,17.44136604227792,16.06856138207503,-7.794379619832267
2,bpm_tertile,mid,40559,6.8172393397124695,5.538538005319748,-2.753309673419117
3,overall,all,85602,15.66898717383514,12.626036030012733,0.054437668656385774
3,gender,F,29789,16.26575287210243,12.261789678858984,0.02429866885816434
3,gender,M,55813,15.340977598315138,12.820444761930368,-0.058174092305572245
3,language,English,67576,16.78667647521099,13.528733858853892,0.0627576674955197
3,language,Tamil,18026,10.465556379613336,9.241995839079067,-2.6781547567149997
3,bpm_tertile,high,21970,23.673472315190853,20.273425355129042,-2.298220021863789
3,bpm_tertile,low,40247,13.79359081348001,12.6053216981453,-12.812367255008176
3,bpm_tertile,mid,23385,6.689674444072057,5.4770322344969395,-1.7715999489736536
4,overall,all,78760,16.213265470994745,12.650507378469209,-0.11313992445956411
4,gender,F,30253,14.889049208366387,11.164934118921073,-0.3277857956577028
4,gender,M,48507,16.986968880218345,13.577034432731681,-0.17833123801143858
4,language,English,60165,17.339670981423517,13.280224223245085,-0.15060828104581048
4,language,Tamil,18595,11.856855364747032,10.613028810792919,-1.057260654474177
4,bpm_tertile,high,19892,25.92366393396648,22.644289647264785,-2.704513531370778
4,bpm_tertile,low,25393,12.688470468432284,10.98977260734568,-15.081760665634356
4,bpm_tertile,mid,33475,9.849181273752306,7.971634223943686,-5.909064460638262
5,overall,all,80830,16.94905151726691,13.335325979062654,-0.09104333600056069
5,gender,F,34029,19.80296497096139,14.566075475200007,-0.09550659439230769
5,gender,M,46801,14.526079013931351,12.440448207133464,-0.1708170965934066
5,language,English,72765,17.590141900289897,13.987596922301512,-0.08457768254534215
5,language,Tamil,8065,9.353686347527125,7.450329675928673,-0.41499835846480826
5,bpm_tertile,high,34460,23.019839994361604,19.61831985336366,-2.4334289692916156
5,bpm_tertile,low,19954,13.940349857117624,13.146099315779809,-18.324815348640254
5,bpm_tertile,mid,26416,6.398615559034424,5.28201964694323,-1.435392069053505
6,overall,all,85254,18.574254013783378,14.680187421683218,0.011981659088808883
6,gender,F,36868,20.24147899664457,15.507193048540703,-0.043456870027295924
6,gender,M,48386,17.19573403705245,14.050045573814378,-0.43604535896251173
6,language,English,65462,18.521425661638837,14.13733146338585,0.05466113456157551
6,language,Tamil,19792,18.74792329727884,16.47568240662978,-2.049294454604088
6,bpm_tertile,high,28392,21.834165080254436,16.362752772277762,-1.2576394097376173
6,bpm_tertile,low,32944,21.293370031666726,20.183620923465174,-8.191850040067786
6,bpm_tertile,mid,23918,6.270640926165521,5.102609500586762,-1.8244488231582996
7,overall,all,89380,14.504572394023093,11.409269761217603,0.030153584710253867
7,gender,F,35393,15.263728457821005,11.222373985898628,-0.11858023992026734
7,gender,M,53987,13.984535149907638,11.531795594767615,-0.007369697642934714
7,language,English,67584,14.455958956979636,11.40252542190931,0.03720990342389563
7,language,Tamil,21796,14.654285368437623,11.43018228772759,0.007792759818519346
7,bpm_tertile,high,37863,18.172686087040038,15.069826377621009,-2.409059197823198
7,bpm_tertile,low,21626,15.431924820576207,14.021252227052226,-9.681674034494026
7,bpm_tertile,mid,29891,6.202039015162732,4.882676874628942,-2.1553787160948485
8,overall,all,91628,13.538456849690322,10.524637116710169,0.09664791724541011
8,gender,F,40866,13.25834463966618,10.687802218564753,-0.13619664217359495
8,gender,M,50762,13.759818910026405,10.393280884639145,0.12871693500209247
8,language,English,66867,12.872779852937427,10.047132439095408,0.12708155643531005
8,language,Tamil,24761,15.191056571433267,11.814136946202769,-0.19295265071504142
8,bpm_tertile,high,35787,17.994907217587407,15.04384075246553,-2.7535999478177984
8,bpm_tertile,low,23821,13.186534347590626,11.67293090391137,-8.767576925612138
8,bpm_tertile,mid,32020,5.76432895793191,4.619507609599088,-1.6975076960327442
9,overall,all,89914,14.743205849834501,11.070851500678096,-0.04413807592751473
9,gender,F,33945,13.123348042699554,10.488710435077007,-0.3187929782382857
9,gender,M,55969,15.644145250619887,11.423917992340067,-0.226727640787328
9,language,English,75049,15.15852437945503,11.29059227142336,-0.0346151058639963
9,language,Tamil,14865,12.436380123042765,9.961445170125694,-0.519822757384405
9,bpm_tertile,high,24675,22.532960368117116,17.889655426241827,-2.110304016523192
9,bpm_tertile,low,31171,12.96642491870178,11.467069392537617,-9.992443432820018
9,bpm_tertile,mid,34068,7.217804160419131,5.769557184297965,-3.2839258454871327
10,overall,all,77654,16.36561784664216,12.766479342751424,-0.1097647562806976
10,gender,F,30431,11.766238581712468,8.713438301253149,-0.39016986362158224
10,gender,M,47223,18.740681297732564,15.37830180074507,-0.5017289933847455
10,language,English,63235,14.139182489168164,11.239065896217706,-0.05450680760830395
10,language,Tamil,14419,23.784144756367457,19.46500138252947,-0.21536752413872295
10,bpm_tertile,high,27850,14.107116714179684,11.069370454962849,-2.201672420465245
10,bpm_tertile,low,24776,23.983463897925947,22.375845586710835,-9.904758643451862
10,bpm_tertile,mid,25028,6.335450283760293,5.142331367067127,-1.8069181462584738
