fold,subgroup,level,n,RMSE,MAE,R2
1,overall,all,724,17.804210698522702,13.780795060468643,0.1781124615761005
1,gender,F,381,15.148502891029072,11.906470851948255,0.06642100454386124
1,gender,M,343,20.351854722082,15.862770347484,0.16001980445087982
1,language,English,596,17.699692286831425,13.714803503663749,0.20817035726540034
1,language,Tamil,128,18.283008091444305,14.08806824684143,-0.010044133025880475
1,bpm_tertile,high,250,20.422632423929844,15.818382293701172,-1.3801907800930193
1,bpm_tertile,low,251,21.738258547177754,20.262770086645606,-3.499229750337663
1,bpm_tertile,mid,223,5.44816554189101,4.200649141730749,-1.1136154992586387
2,overall,all,720,15.795499306742746,12.556315506829156,-0.08185965879627655
2,gender,F,253,14.444743199409139,10.269470606867975,-0.07499034483156697
2,gender,M,467,16.48111055987808,13.79522719781455,-0.18122326904635733
2,language,English,658,15.789685705745814,12.397720105017573,-0.06232920867621328
2,language,Tamil,62,15.857067147348317,14.239473158313382,-0.48054525958638217
2,bpm_tertile,high,216,20.486941457525635,16.718351010923033,-1.8806966323891934
2,bpm_tertile,low,245,17.7897023064436,16.361816593092314,-7.114493893650883
2,bpm_tertile,mid,259,6.647208876019211,5.485475989382239,-2.466082750541279
3,overall,all,612,16.129254354408836,12.730484133452372,0.07096770082683423
3,gender,F,252,15.846155401771616,11.730559061443994,0.023985944524770653
3,gender,M,360,16.32450273477575,13.430431683858236,0.034952998551298076
3,language,English,519,16.884576514957327,13.2585913450502,0.07069756907541014
3,language,Tamil,93,10.999701935090094,9.783305178406419,-1.2598966997366952
3,bpm_tertile,high,190,23.467431447110332,19.383808858771072,-1.927800123816437
3,bpm_tertile,low,246,13.802764620671262,12.753129230282171,-13.465417712622031
3,bpm_tertile,mid,176,6.618528083860299,5.516265999187123,-1.722164521342258
4,overall,all,575,17.580156380397288,13.625156382685121,0.006220481904684383
4,gender,F,251,15.07134855288853,11.352435290575977,-0.3233944894783787
4,gender,M,324,19.30082349748665,15.385813771942516,0.04475675806542956
