fold,n_train_speakers,n_val_speakers,n_train_rows,n_val_rows,mean_pred_bpm,RMSE,MAE,R2
1,98,11,1136643,115669,88.9523,16.5994,13.9268,-0.313021
2,98,11,1084533,167779,88.3869,17.0948,12.1748,-0.006435
3,98,11,1136969,115343,87.9539,17.6033,13.5827,-0.02432
4,98,11,1128256,124056,87.9377,18.5754,14.2125,-0.021343
5,98,11,1099840,152472,88.0491,19.6743,14.4011,-0.004185
6,98,11,1139615,112697,88.004,15.121,10.9646,-0.02202
7,98,11,1137912,114400,88.415,10.6834,8.1707,-0.049176
8,98,11,1117883,134429,88.6327,19.8658,15.8843,-0.042168
9,98,11,1132172,120140,87.7603,16.6356,12.0571,-0.083664
10,99,10,1156985,95327,87.9569,17.5111,13.5622,-0.035492
