fold,subgroup,level,n,RMSE,MAE,R2
1,overall,all,89641,15.299807693541704,11.248478728212762,-0.007145048615678773
1,gender,F,40557,17.445801341977837,10.91436313241915,-0.14157770395592006
1,gender,M,49084,13.267255108137007,11.52455089467437,-0.03952147192589894
1,language,English,41462,18.532654695678232,13.2524383586876,-0.07410024993994946
1,language,Tamil,48179,11.83037463243044,9.523906317022249,-0.04240135133732381
1,bpm_tertile,high,26335,23.57091687320553,19.393506405759588,-2.0165493893369133
1,bpm_tertile,low,26718,14.702369267410534,14.038872119793055,-13.100825659248695
1,bpm_tertile,mid,36588,3.970369452201394,3.348264599962027,-0.33055452984881506
2,overall,all,88981,15.743800387490195,11.46251055217947,-0.00826311718311512
2,gender,F,35851,12.459834039402951,9.247030664589584,-0.15151236372755705
2,gender,M,53130,17.617182607866436,12.957469510394885,-0.053799756435950696
2,language,English,41464,16.36468216216725,11.375710591877976,-0.10196686264842181
2,language,Tamil,47517,15.18127766378999,11.538253413764611,-0.0918982104779813
2,bpm_tertile,high,26763,21.896493496149713,17.553024455908858,-1.7699410143317271
2,bpm_tertile,low,25956,18.125917418443265,16.06321649732162,-4.115527674592127
2,bpm_tertile,mid,36262,4.380956786498586,3.674292938213907,-0.4638387786730982
3,overall,all,95663,22.021320440412346,17.553048587813148,-0.09262512995725514
3,gender,F,36221,13.892456755902097,11.631926290038631,-0.11538069636959802
3,gender,M,59442,25.745507969403057,21.161086183245516,-0.3696525467369709
3,language,English,49527,21.472140198567047,17.61465249236907,-0.04265121491916668
3,language,Tamil,46136,22.596015308261922,17.486916790931296,-0.17462687378693298
3,bpm_tertile,high,32266,18.646311416269004,15.005584526688612,-1.864898984080702
3,bpm_tertile,low,38849,29.930896380439098,28.836140313576006,-12.310987729094641
3,bpm_tertile,mid,24548,3.8774290529695183,3.04513123984521,-0.2033394641248889
4,overall,all,87253,13.73975401977035,11.038394096556125,0.008173917721476909
4,gender,F,36126,14.498539662578754,10.867424555674335,-0.08086716935562688
4,gender,M,51127,13.177283370462936,11.159200043196755,-0.05866249970833026
4,language,English,44418,14.78795473988199,11.524731290759634,-0.02391069007755542
4,language,Tamil,42835,12.56077211969329,10.53408394149294,-0.05672328279565009
4,bpm_tertile,high,27644,18.555179815612483,15.797781721139124,-2.610844794156194
4,bpm_tertile,low,31207,14.424683129502121,13.867809904035374,-13.478212009650935
4,bpm_tertile,mid,28402,4.027602044915933,3.2971754993454567,-0.277716476012845
5,overall,all,75916,17.32621189231665,12.559556236369598,-0.0076317862782633306
5,gender,F,31626,20.800263191539404,15.06909341895964,-0.3093773832722686
5,gender,M,44290,14.339356623020924,10.767580103233614,-0.1355268563850054
5,language,English,40687,18.176515147416907,13.029424954208407,0.002192092940144219
5,language,Tamil,35229,16.289030636731155,12.016891144464985,-0.024867584017634004
5,bpm_tertile,high,24515,24.947940853919416,20.59741921904329,-2.1296758165004372
5,bpm_tertile,low,21401,18.032847489141336,15.871243019615576,-3.703242979076019
5,bpm_tertile,mid,30000,4.36813647848825,3.6288355740865073,-0.5566815757778822
6,overall,all,90729,16.84606553934052,13.253970666580193,-0.029270262591376994
6,gender,F,35298,16.89130506843679,13.186115728518033,-0.18380218583204733
6,gender,M,55431,16.817193960900575,13.29718012705751,-0.007944041475589358
6,language,English,37170,19.31125164408314,14.698935635833289,-0.13093027854680028
6,language,Tamil,53559,14.897331312990369,12.251163521055863,-0.01552207712423126
6,bpm_tertile,high,35547,23.112432758736514,19.365993301117307,-2.394801311301491
6,bpm_tertile,low,32023,14.047948426371436,13.350771905510525,-11.343221456740778
6,bpm_tertile,mid,23159,4.357524791597939,3.7387094435499733,-0.3968092042459479
7,overall,all,84323,17.49470018274773,13.783808482888853,0.0011469824410365037
7,gender,F,34908,18.048171804523857,13.241750906433616,-0.3603864103015264
7,gender,M,49415,17.092915460388795,14.166731600948134,-0.05042325885547272
7,language,English,43443,19.592361628144513,14.810095509636966,-0.15321707096096127
7,language,Tamil,40880,14.946268908479816,12.6931776780205,-0.10153935168277606
7,bpm_tertile,high,29037,24.67241957391014,21.385550504381566,-3.023254198047871
7,bpm_tertile,low,28407,16.299483793445834,15.263695625307593,-7.165149889560118
7,bpm_tertile,mid,26879,4.667837519131724,4.007740283447911,-0.45322561759742297
8,overall,all,78068,15.31127300506634,11.974392003319684,-0.07760271489642623
8,gender,F,28087,13.592019120985222,10.809690110319366,-0.001539095870239926
8,gender,M,49981,16.19752237572671,12.628900357868412,-0.2920199262334777
8,language,English,39862,16.231504739118176,12.717165103242662,-0.012736438610055023
8,language,Tamil,38206,14.288116910963858,11.199424162950901,-0.23753772149686592
8,bpm_tertile,high,21746,15.270400648706566,12.505445153187184,-1.9764777884292979
8,bpm_tertile,low,28951,21.058483181122902,19.990999246639255,-9.203198875600327
8,bpm_tertile,mid,27371,3.786489380861329,3.0731067708340767,-0.20152778953959194
9,overall,all,96759,15.266713321686632,12.26258604954697,-0.03554606776449454
9,gender,F,38936,17.656101128760007,13.127818433464933,-0.22526748469471802
9,gender,M,57823,13.420208887675848,11.679968611845194,-0.015174595172936955
9,language,English,46983,15.436874777834538,11.77667772105413,-0.12575574360870312
9,language,Tamil,49776,15.104341298451379,12.721229391671269,-0.027821743384068176
9,bpm_tertile,high,37389,20.810237026029075,18.010059518198606,-2.9270439189073874
