fold,subgroup,level,n,RMSE,MAE,R2
1,overall,all,677,15.976976798829224,11.88519015516453,6.047321345170609e-05
1,gender,F,313,20.0495739933129,14.517267659830209,-0.1871365108776495
1,gender,M,364,11.362187701272804,9.621892740438273,-0.15256832896729522
1,language,English,327,15.533840478167757,10.967820730413502,0.03794101370364655
1,language,Tamil,350,16.380163859755257,12.742275303431919,-0.03429874613173278
1,bpm_tertile,high,237,23.175633796261657,18.1215514492888,-1.5241236533391147
1,bpm_tertile,low,222,13.25481253388656,12.521881137882268,-16.777353049748992
1,bpm_tertile,mid,218,5.46688173484357,4.456919398876505,-1.212764106472441
2,overall,all,654,18.180140769507364,14.612356541718183,0.04900166205441636
2,gender,F,255,14.30236372915985,11.825352059158625,0.07103194626145992
2,gender,M,399,20.273584114826125,16.39352482004572,-0.09624150124897146
2,language,English,327,17.50316051536306,14.162073281197738,0.07110945078067543
2,language,Tamil,327,18.832801405304604,15.062639802238628,-0.014497975725518808
2,bpm_tertile,high,213,17.496583828725193,15.239472581746993,-2.8230450705428076
2,bpm_tertile,low,263,23.606908078032035,21.20047243647702,-3.5322468798183717
2,bpm_tertile,mid,178,4.964155469709387,4.12780487403441,-0.9008409536236444
3,overall,all,714,18.57272839522008,13.419894573735256,-0.00977477464585319
3,gender,F,255,14.513051452060928,9.89874231675092,-0.15987696543116114
3,gender,M,459,20.48333753280608,15.376090272059887,0.004833307266177256
3,language,English,388,22.145222621342132,16.439415430285266,-0.12448648055464306
3,language,Tamil,326,13.107880834452887,9.826109014405795,-0.13969920524125135
3,bpm_tertile,high,184,31.800057520141102,27.0082078187362,-2.609472043779304
3,bpm_tertile,low,279,13.934444852176428,13.024892909552461,-10.48723988414953
3,bpm_tertile,mid,251,4.9094185781797615,3.8978062359935257,-0.9402898552069898
4,overall,all,841,14.052602962670239,11.454682838902604,-0.021021830420322685
4,gender,F,374,11.779327402735747,9.130942257967861,0.022809758804663294
4,gender,M,467,15.636637264896077,13.31566565960837,-0.04373159913052782
4,language,English,387,13.899731453893601,11.094820402081314,0.01241514403291022
4,language,Tamil,454,14.181613152097963,11.761437823593878,-0.07347213142194486
4,bpm_tertile,high,282,17.038090286926643,14.671134948730469,-3.3089356116593684
4,bpm_tertile,low,297,16.172264358742858,15.031348128912827,-10.653079273583792
4,bpm_tertile,mid,262,4.99442013559914,3.938235945374001,-0.7868477737907695
5,overall,all,648,13.86721908577118,10.904466746765891,0.06348607493483693
5,gender,F,248,11.440487394289745,8.558079965652958,-0.05178203033308493
5,gender,M,400,15.178177540540837,12.359226551055908,-0.10493144367821627
5,language,English,323,14.727463043241725,11.576978346880745,0.08349907510850918
5,language,Tamil,325,12.955799374806013,10.23609367957482,-0.11997863017234955
5,bpm_tertile,high,167,17.282653384367283,14.83461167569646,-2.7042628052969566
5,bpm_tertile,low,212,17.963355629230595,16.555943974908793,-6.168803825200648
5,bpm_tertile,mid,269,4.84725229998891,4.010610332276298,-0.6719707195839495
6,overall,all,702,17.743999981796748,14.669639326568342,0.023654143816581263
6,gender,F,315,15.680217133343904,12.828066677517361,-0.1193997279654162
6,gender,M,387,19.261264557005923,16.168593808354025,-0.1227641798947936
6,language,English,379,16.439436450087996,13.628378996433872,-0.10208409084754155
6,language,Tamil,323,19.1618252769997,15.891427763475352,-0.2746976325967332
6,bpm_tertile,high,257,19.917881051011605,17.468917816993326,-3.417555118415435
6,bpm_tertile,low,277,20.23198724477586,18.160509515755443,-5.358801426241696
6,bpm_tertile,mid,168,5.815362069683575,4.631629716782343,-1.0743367555450014
7,overall,all,642,12.554973237511364,9.973829940843434,-0.06772275816102247
7,gender,F,312,12.743572271753264,9.670570715879782,-0.017710819565274427
7,gender,M,330,12.374018080172748,10.26054775353634,-0.5766410026299786
7,language,English,381,13.788242890920948,10.756835657154793,-0.02600999321373787
7,language,Tamil,261,10.49771020704916,8.830821596342942,-0.27714526299591724
7,bpm_tertile,high,152,16.017502047867296,12.416360804909154,-1.4359813389422427
7,bpm_tertile,low,240,15.21621364896121,14.429831091562907,-17.6845857009415
7,bpm_tertile,mid,250,5.1503888110426885,4.211010070800781,-1.053074034402826
8,overall,all,711,18.817076700309684,14.325263311758993,0.0771457837844044
8,gender,F,317,21.396882836237346,16.027731260666712,-0.269809924753875
8,gender,M,394,16.450320408186283,12.955511180277403,-0.08864094501567044
8,language,English,324,23.09399900814744,17.95280463607223,0.04628561531108544
8,language,Tamil,387,14.283286070107236,11.288251970473494,0.11386645408746665
8,bpm_tertile,high,228,27.349384748186107,23.291280846846732,-2.5056186052380816
8,bpm_tertile,low,265,16.992499923251064,15.273982037238355,-6.4825369371663655
8,bpm_tertile,mid,218,4.640108788419417,3.7947015674836044,-0.8194956818562293
9,overall,all,714,18.423932530839032,15.370027494029838,0.028977669557768482
9,gender,F,254,17.848325107485806,14.640996527484083,-0.03643378279259535
9,gender,M,460,18.734190602667333,15.772579375557278,-0.05061252039123132
9,language,English,388,17.893143248278157,14.524739216283425,0.055867398942938684
9,language,Tamil,326,19.0363895771631,16.376076119077716,-0.02938443525511225
9,bpm_tertile,high,276,19.908014088914275,17.16781502875729,-2.6302242296265064
9,bpm_tertile,low,266,21.86342753937862,20.303597988042615,-8.17635822498522
9,bpm_tertile,mid,172,5.818851049552188,4.855381499889285,-1.3858970422996078
10,overall,all,722,18.263873841109522,12.811537047832626,-0.008494300708844493
10,gender,F,316,19.53031693519978,13.637233033964906,-0.2951114094744003
10,gender,M,406,17.21380796409091,12.168877117739523,0.0518144367950506
10,language,English,432,21.525820375836325,15.699822337539107,-0.12823886178099064
10,language,Tamil,290,11.841620636322194,8.508987926614695,0.10011792878864523
10,bpm_tertile,high,249,28.717390238232667,24.179270334511877,-2.312804346777995
10,bpm_tertile,low,188,12.501802360165112,11.39029717952647,-6.473119650778149
10,bpm_tertile,mid,285,4.6286569544969876,3.817247598213062,-0.48968231170636356
