file_name,language_code,language,speaker_id,gender,age_raw,age_years,age_months,question_number,response_type_code,response_type,bpm,extension
En001M240401A083.ogg,En,English,1,M,2404,24,4,1,A,Answering,83,ogg
En001M240402A079.ogg,En,English,1,M,2404,24,4,2,A,Answering,79,ogg
En001M240403A076.ogg,En,English,1,M,2404,24,4,3,A,Answering,76,ogg
En001M240404A076.ogg,En,English,1,M,2404,24,4,4,A,Answering,76,ogg
En001M240405A071.ogg,En,English,1,M,2404,24,4,5,A,Answering,71,ogg
En001M240406A075.ogg,En,English,1,M,2404,24,4,6,A,Answering,75,ogg
En001M240407A075.ogg,En,English,1,M,2404,24,4,7,A,Answering,75,ogg
En001M240408A074.ogg,En,English,1,M,2404,24,4,8,A,Answering,74,ogg
En001M240409A076.ogg,En,English,1,M,2404,24,4,9,A,Answering,76,ogg
En001M240410A072.ogg,En,English,1,M,2404,24,4,10,A,Answering,72,ogg
En001M240411A071.ogg,En,English,1,M,2404,24,4,11,A,Answering,71,ogg
En001M240412A076.ogg,En,English,1,M,2404,24,4,12,A,Answering,76,ogg
En001M240413A078.ogg,En,English,1,M,2404,24,4,13,A,Answering,78,ogg
En001M240414A078.ogg,En,English,1,M,2404,24,4,14,A,Answering,78,ogg
En001M240415A077.ogg,En,English,1,M,2404,24,4,15,A,Answering,77,ogg
En001M240416A077.ogg,En,English,1,M,2404,24,4,16,A,Answering,77,ogg
En001M240417R075.ogg,En,English,1,M,2404,24,4,17,R,Reading,75,ogg
En001M240418R077.ogg,En,English,1,M,2404,24,4,18,R,Reading,77,ogg
En001M240419R074.ogg,En,English,1,M,2404,24,4,19,R,Reading,74,ogg
En001M240420R071.ogg,En,English,1,M,2404,24,4,20,R,Reading,71,ogg
En001M240421R072.ogg,En,English,1,M,2404,24,4,21,R,Reading,72,ogg
En001M240422R073.ogg,En,English,1,M,2404,24,4,22,R,Reading,73,ogg
En001M240423R071.ogg,En,English,1,M,2404,24,4,23,R,Reading,71,ogg
En001M240424R067.ogg,En,English,1,M,2404,24,4,24,R,Reading,67,ogg
En001M240425R071.ogg,En,English,1,M,2404,24,4,25,R,Reading,71,ogg
En001M240426R072.ogg,En,English,1,M,2404,24,4,26,R,Reading,72,ogg
En001M240427R076.ogg,En,English,1,M,2404,24,4,27,R,Reading,76,ogg
En001M240428R077.ogg,En,English,1,M,2404,24,4,28,R,Reading,77,ogg
En001M240429R070.ogg,En,English,1,M,2404,24,4,29,R,Reading,70,ogg
En001M240430R072.ogg,En,English,1,M,2404,24,4,30,R,Reading,72,ogg
En001M240431A081.ogg,En,English,1,M,2404,24,4,31,A,Answering,81,ogg
En001M240432A080.ogg,En,English,1,M,2404,24,4,32,A,Answering,80,ogg
En001M240433A080.ogg,En,English,1,M,2404,24,4,33,A,Answering,80,ogg
En001M240434A076.ogg,En,English,1,M,2404,24,4,34,A,Answering,76,ogg
En001M240435A076.ogg,En,English,1,M,2404,24,4,35,A,Answering,76,ogg
En001M240436A077.ogg,En,English,1,M,2404,24,4,36,A,Answering,77,ogg
En001M240437A164.ogg,En,English,1,M,2404,24,4,37,A,Answering,164,ogg
En001M240438A166.ogg,En,English,1,M,2404,24,4,38,A,Answering,166,ogg
En001M240440R155.ogg,En,English,1,M,2404,24,4,40,R,Reading,155,ogg
En001M240441R150.ogg,En,English,1,M,2404,24,4,41,R,Reading,150,ogg
En001M240443A148.ogg,En,English,1,M,2404,24,4,43,A,Answering,148,ogg
En001M240444A146.ogg,En,English,1,M,2404,24,4,44,A,Answering,146,ogg
En001M240446V105.ogg,En,English,1,M,2404,24,4,46,V,AfterVideo,105,ogg
En001M240447V097.ogg,En,English,1,M,2404,24,4,47,V,AfterVideo,97,ogg
En001M240448V085.ogg,En,English,1,M,2404,24,4,48,V,AfterVideo,85,ogg
En001M240449V094.ogg,En,English,1,M,2404,24,4,49,V,AfterVideo,94,ogg
En001M240450V098.ogg,En,English,1,M,2404,24,4,50,V,AfterVideo,98,ogg
En001M240451V086.ogg,En,English,1,M,2404,24,4,51,V,AfterVideo,86,ogg
En001M240452V086.ogg,En,English,1,M,2404,24,4,52,V,AfterVideo,86,ogg
En001M240453V089.ogg,En,English,1,M,2404,24,4,53,V,AfterVideo,89,ogg
En001M240454V088.ogg,En,English,1,M,2404,24,4,54,V,AfterVideo,88,ogg
En001M240455V088.ogg,En,English,1,M,2404,24,4,55,V,AfterVideo,88,ogg
En001M240456V090.ogg,En,English,1,M,2404,24,4,56,V,AfterVideo,90,ogg
En001M240457V094.ogg,En,English,1,M,2404,24,4,57,V,AfterVideo,94,ogg
En001M240458V092.ogg,En,English,1,M,2404,24,4,58,V,AfterVideo,92,ogg
En001M240459V082.ogg,En,English,1,M,2404,24,4,59,V,AfterVideo,82,ogg
En001M240460V073.ogg,En,English,1,M,2404,24,4,60,V,AfterVideo,73,ogg
En001M240461V086.ogg,En,English,1,M,2404,24,4,61,V,AfterVideo,86,ogg
En001M240462V081.ogg,En,English,1,M,2404,24,4,62,V,AfterVideo,81,ogg
En001M240463V081.ogg,En,English,1,M,2404,24,4,63,V,AfterVideo,81,ogg
En001M240464V089.ogg,En,English,1,M,2404,24,4,64,V,AfterVideo,89,ogg
En001M240465V086.ogg,En,English,1,M,2404,24,4,65,V,AfterVideo,86,ogg
En001M240466V074.ogg,En,English,1,M,2404,24,4,66,V,AfterVideo,74,ogg
En001M240467V080.ogg,En,English,1,M,2404,24,4,67,V,AfterVideo,80,ogg
En002F230001A086.ogg,En,English,2,F,2300,23,0,1,A,Answering,86,ogg
